id,node_class,label_short,label_long,category,authors,year,url,url_page,url_video,description
Belt-2021,Study,Belt et al (2021),Video use in online and blended courses: a qualitative synthesis,,Belt & Lowenthal,2021,https://nusearch.nottingham.ac.uk/,,,
Noetel-2021,Study,Noetel et al (2021),Video Improves Learning in Higher Education: A Systematic Review,,Noetel et al.,2021,https://nusearch.nottingham.ac.uk/,,,
Chust-Prez-2024,Study,Chust-Pérez et al (2024),Enhancing visual and plastic education training: a blended learning and flipped classroom approach,,Chust-Pérez et al.,2024,https://nusearch.nottingham.ac.uk/,,,
Starke-2021,Study,Starke et al (2021),Effect of gamified perceptual learning on visual detection and discrimination skills in equine gait assessment,,Starke et al.,2021,https://nusearch.nottingham.ac.uk/,,,
Shek-2023,Study,Shek et al (2023),Use of instructional videos in leadership education in higher education under COVID-19: A qualitative study,,Shek et al.,2023,https://nusearch.nottingham.ac.uk/,,,
Mutawa-2023,Study,Mutawa et al (2023),The Effectiveness of Using H5P for Undergraduate Students in the Asynchronous Distance Learning Environment,,Mutawa et al.,2023,https://nusearch.nottingham.ac.uk/,,,
Seo-2021,Study,Seo et al (2021),Active Learning with Online Video: The Impact of Learning Context on Engagement,,Seo et al.,2021,https://nusearch.nottingham.ac.uk/,,,
Campbell-2022,Study,Campbell et al (2022),Student-created video: an active learning approach in online environments,,"Campbell, Heller & Pulse",2022,https://nusearch.nottingham.ac.uk/,,,
Litton-2021,Study,Litton (2021),Student-created video: an active learning approach in online environments,,Litton,2021,https://nusearch.nottingham.ac.uk/,,,
Akapnar-2024,Study,Akçapınar et al (2024),Decoding Video Logs: Unveiling Student Engagement,,Akçapınar et al.,2024,https://nusearch.nottingham.ac.uk/,,,
Brame-2016,Study,Brame (2016),Effective Educational Videos: Principles and Guidelines for Maximizing Student Learning from Video Content,,Brame,2016,https://nusearch.nottingham.ac.uk/,,,
Guo-2014,Study,Guo et al (2014),How Video Production Affects Student Engagement: An Empirical Study of MOOC Videos,,"Guo, Kim & Rubin",2014,https://nusearch.nottingham.ac.uk/,,,
